분류번호,측정소명,년/월/일,회차,경도,위도,채수시각,수심(m),수온(℃),DO,BOD(㎎/L),COD(㎎/L),SS(㎎/L),TN(㎎/L),TP(㎎/L),TOC(㎎/L),경도_십진수,위도_십진수
1018A52,노량진,2025-01-06,1회차,"126°57'30.58""","37°30'59.45""",10:50,,4,13.1,1.4,3.6,2.9,5.284,0.034,2.4,126.9584944,37.51651389
2014A25,논공,2025-01-06,1회차,"128°24'50.4""","35°44'8.9""",13:30,,4.2,12.7,1.5,5,2.4,3.37,0.021,3.3,128.414,35.73580556
2011A55,다사,2025-01-06,1회차,"128°27'24.9""","35°50'33.8""",11:10,,3.8,12.3,1.2,5.1,0.8,2.222,0.014,2.5,128.4569167,35.84272222
1003A47,단성,2025-01-06,1회차,"128°15'4.5""","36°55'52.14""",:,,,,,,,,,,128.25125,36.93115
1302A60,달방천,2025-01-06,1회차,"129°1'13.1""","37°30'19.7""",14:35,,3,12.2,1,1.9,2,0.989,0.005,1.1,129.0203056,37.50547222
1004A45,달천6,2025-01-06,1회차,"127°52'39.62""","36°52'59.65""",:,,,,,,,,,,127.8776722,36.88323611
1004A70,달천8,2025-01-06,1회차,"127°53'22.55""","36°59'18.55""",:,,,,,,,,,,127.8895972,36.98848611
1007A27,대신,2025-01-06,1회차,"127°36'47.7""","37°19'20.8""",11:30,,4.1,14.1,1.1,2.8,1.6,3.111,0.016,2,127.61325,37.32244444
2201A18,대암,2025-01-06,1회차,"129°10'59.52""","35°32'58.92""",13:05,,7.3,11.8,0.9,4.2,1.3,4.628,0.034,2.3,129.1832,35.5497
3203A20,대천천,2025-01-06,1회차,"126°35'55.3""","36°20'48.1""",14:00,,4.6,13.2,2,3.1,1.6,1.813,0.025,1.6,126.5986944,36.34669444
3008A40,대청댐,2025-01-06,1회차,"127°28'35.5""","36°22'16.2""",13:30,,8.5,10.4,0.5,4.1,1.5,1.341,0.016,2.7,127.4765278,36.37116667
2014A70,덕곡,2025-01-06,1회차,"128°21'19.8""","35°35'36.1""",10:00,,4.7,12.5,1.3,5.2,2,3.372,0.021,3,128.3555,35.59336111
1025A24,덕소천,2025-01-06,1회차,"127°13'6.34""","37°35'49.06""",11:00,,4.2,13.2,3.6,6,10.1,6.968,0.266,3.2,127.2184278,37.59696111
4009A40,덕은,2025-01-06,1회차,"127°37'22.1""","35°11'7.8""",11:52,,4.3,13.6,0.3,3.3,1.6,2.028,0.009,1.7,127.6228056,35.1855
2201A03,덕현,2025-01-06,1회차,"129°2'2.48""","35°37'14.83""",12:00,,4.3,12.3,0.3,1.8,0.2,0.405,0.016,0.7,129.0340222,35.62078611
2007A25,도남,2025-01-06,1회차,"128°15'15.12""","36°26'.24""",11:00,,,,,,,,,,128.2542,36.4334
2001A50,도산,2025-01-06,1회차,"128°53'7.5""","36°46'44.1""",13:30,,0.5,15.7,0.7,2.6,0.4,2.276,0.01,1,128.8854167,36.77891667
1025A18,도심천,2025-01-06,1회차,"127°12'58.82""","37°34'34.5""",10:20,,3.5,13,1.8,4.8,3.4,4.877,0.091,2.9,127.2163389,37.57625
4007A30,동복천2,2025-01-06,1회차,"127°6'59.26""","35°2'12.56""",14:10,,5.7,15.1,1,2.4,1.4,1.061,0.012,2.1,127.1164611,35.03682222
4007A35,동복천3,2025-01-06,1회차,"127°7'5.52""","35°0'1.8""",14:30,,5.7,12.2,1.8,2.7,1.3,1.532,0.009,0.8,127.1182,35.0005
3302A05,동진강1,2025-01-06,1회차,"126°58'42.1""","35°36'57.9""",9:50,,6.2,12.5,0.8,3.7,0.5,1.69,0.013,1.1,126.9783611,35.61608333
3302A10,동진강2,2025-01-06,1회차,"126°52'4.23""","35°40'58.97""",10:14,,5.5,12.2,0.9,3.7,2.2,2.096,0.019,1.2,126.8678417,35.68304722
2201A36,망성,2025-01-06,1회차,"129°13'51.96""","35°35'7.8""",11:33,,7.2,12.1,0.5,2.5,1.9,3.715,0.023,1.2,129.2311,35.5855
3101A20,무한천1,2025-01-06,1회차,"126°47'9.54""","36°34'7.72""",10:20,,3.8,12.7,2.1,5.4,1.6,2.752,0.021,1.5,126.7859833,36.56881111
1015A50,묵현천,2025-01-06,1회차,"127°21'1.9""","37°37'44.8""",:,,,,,,,,,,127.3505278,37.62911111
1023A50,문산천4,2025-01-06,1회차,"126°46'33.24""","37°51'29.52""",:,,,,,,,,,,126.7759,37.8582
2022A10,물금,2025-01-06,1회차,"128°58'19.8""","35°18'55""",13:20,,5.5,14.8,2.6,5.6,5.2,2.586,0.029,4.2,128.9721667,35.31527778
2002A50,반변천4,2025-01-06,1회차,"128°45'5.1""","36°33'3.7""",10:50,,3.4,14.1,0.8,5.2,1.2,1.412,0.018,3.9,128.7514167,36.55102778
2201A15,반송,2025-01-06,1회차,"129°9'3.6""","35°32'53.16""",12:50,,6.1,10.8,0.4,2.4,0.7,2.068,0.024,1.1,129.151,35.5481
3303A10,백천내,2025-01-06,1회차,"126°36'36.5""","35°39'17.1""",14:00,,6.3,12.8,0.5,1.6,1,4.05,0.006,0.7,126.6101389,35.65475
1001A20,번천,2025-01-06,1회차,"128°58'26.9""","37°20'42.6""",12:20,,1.1,11.8,0.5,0.6,2,2.611,0.005,0.7,128.9741389,37.34516667
1015A47,벽계천2,2025-01-06,1회차,"127°22'46.92""","37°38'47.04""",:,,,,,,,,,,127.3797,37.6464
3011A80,병천천2,2025-01-06,1회차,"127°20'53.3""","36°38'24.6""",13:23,,5.2,14.2,1,2.8,1.7,3.834,0.095,2.6,127.3481389,36.64016667
1007A57,복하천6,2025-01-06,1회차,"127°32'33.4""","37°21'50.8""",:,,,,,,,,,,127.5426111,37.36411111
3012A42,부여,2025-01-06,1회차,"126°56'39.9""","36°19'19.5""",10:55,,4.6,14.4,1.2,5.3,3.2,4.323,0.035,3.6,126.9444167,36.32208333
1025A06,산곡천,2025-01-06,1회차,"127°13'57.39""","37°32'38.63""",9:43,,4.3,13.1,4.1,14.9,7.1,5.386,0.049,2.3,127.2326083,37.54406389
5001A27,산동,2025-01-06,1회차,"126°51'34""","35°11'20.2""",10:45,,4.3,13,0.7,5,4.4,2.708,0.068,2.4,126.8594444,35.18894444
1015A60,삼봉리,2025-01-06,1회차,"127°20'28.7""","37°35'39.2""",9:45,,2.3,12,1.1,2.4,1.2,1.945,0.011,1.6,127.3413056,37.59422222
2201A42,삼호,2025-01-06,1회차,"129°16'22.8""","35°33'15.12""",10:30,,7,10.5,1.3,3.7,2.9,4.285,0.028,2,129.273,35.5542
2009A10,상주3,2025-01-06,1회차,"128°17'40.8""","36°21'16.7""",13:50,,3.5,14.5,1.2,3.6,1.6,2.339,0.029,2.4,128.2946667,36.35463889
3005A27,석천,2025-01-06,1회차,"127°54'45.5""","36°16'58.5""",14:50,,3.8,13.9,0.5,2.7,0.6,5.394,0.005,1.9,127.9126389,36.28291667
2009A30,선산,2025-01-06,1회차,"128°20'38.1""","36°14'19.7""",14:00,,1.3,15.6,2.2,5,2,2.249,0.015,3.4,128.3439167,36.23880556
1006A45,섬강3,2025-01-06,1회차,"127°55'18.48""","37°25'43.68""",:,,,,,,,,,,127.9218,37.4288
1006A80,섬강6,2025-01-06,1회차,"127°44'51.36""","37°14'31.56""",11:10,,3.4,12.8,1.1,3.7,2.3,4.604,0.032,2.4,127.7476,37.2421
1101A28,성은천,2025-01-06,1회차,"127°8'38.04""","37°5'39.12""",:,,,,,,,,,,127.1439,37.0942
1012A40,소양강2,2025-01-06,1회차,"127°47'24.72""","37°55'44.04""",13:50,,8.5,11.6,0.7,2.2,1.4,1.699,0.008,1.6,127.7902,37.9289
1022A55,신천5,2025-01-06,1회차,"127°4'36.12""","38°0'29.52""",:,,,,,,,,,,127.0767,38.0082
2201A12,신화,2025-01-06,1회차,"129°7'50.52""","35°32'26.52""",12:40,,5.2,11.5,0.3,1.9,1.5,4.286,0.029,0.9,129.1307,35.5407
2003A45,안동5,2025-01-06,1회차,"128°25'39.08""","36°31'16.83""",11:15,,3.9,14.3,0.9,4.2,0.4,1.545,0.021,2.9,128.4275222,36.52134167
1018A82,안양천9,2025-01-06,1회차,"126°52'24.24""","37°30'31.32""",:,,,,,,,,,,126.8734,37.5087
1007A44,양화천4,2025-01-06,1회차,"127°34'10.2""","37°20'52.4""",:,,,,,,,,,,127.5695,37.34788889
1007A25,여주1,2025-01-06,1회차,"127°38'52.4""","37°17'48.2""",:,,,,,,,,,,127.6478889,37.29672222
