조사년도,조사회차,PTNM,학명,국명,개체밀도
2024,2,엄둔천,Amphinemura coreana,총채민강도래,4
2024,2,엄둔천,Antocha KUa,명주각다귀 KUa,8
2024,2,엄둔천,Baetiella tuberculata,애호랑하루살이,4
2024,2,엄둔천,Drunella ishiyamana,알통하루살이,15
2024,2,엄둔천,Ecdyonurus dracon,참납작하루살이,4
2024,2,엄둔천,Ecdyonurus kibunensis,두점하루살이,52
2024,2,엄둔천,Epeorus nipponicus,흰부채하루살이,19
2024,2,엄둔천,Epeorus pellucidus,부채하루살이,119
2024,2,엄둔천,Ephemera orientalis,동양하루살이,4
2024,2,엄둔천,Eubrianax ramicornis,둥근물삿갓벌레,23
2024,2,엄둔천,Gammarus sp.,옆새우류,4
2024,2,엄둔천,Hydropsyche kozhantschikovi,줄날도래,4
2024,2,엄둔천,Kamimuria coreana,한국강도래,15
2024,2,엄둔천,Lepidostoma KUb,네모집날도래 KUb,30
2024,2,엄둔천,Psilotreta sp.,바수염날도래류,56
2024,2,엄둔천,Rhyacophila lata,올챙이물날도래,8
2024,2,엄둔천,Semisulcospira libertina,다슬기,26
2024,2,엄둔천,Serratella setigera,범꼬리하루살이,4
2024,2,엄둔천,Simulium sp.,먹파리류,4
2024,2,엄둔천,Stenopsyche bergeri,연날개수염치레각날도래,15
2024,2,엄둔천,Teloganopsis punctisetae,등줄하루살이,8
2024,1,평창강3-2,Baetiella tuberculata,애호랑하루살이,23
2024,1,평창강3-2,Baetis ursinus,방울하루살이,8
2024,1,평창강3-2,Cheumatopsyche KUa,꼬마줄날도래 KUa,30
2024,1,평창강3-2,Cheumatopsyche brevilineata,꼬마줄날도래,37
2024,1,평창강3-2,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),12
2024,1,평창강3-2,Drunella ishiyamana,알통하루살이,26
2024,1,평창강3-2,Ecdyonurus kibunensis,두점하루살이,4
2024,1,평창강3-2,Ecdyonurus levis,네점하루살이,4
2024,1,평창강3-2,Ecdyonurus sp.,납작하루살이류,49
2024,1,평창강3-2,Epeorus pellucidus,부채하루살이,67
2024,1,평창강3-2,Hydropsyche kozhantschikovi,줄날도래,19
2024,1,평창강3-2,Koreanomelania nodifila,염주알다슬기,4
2024,1,평창강3-2,Koreoleptoxis globus ovalis,띠구슬다슬기,26
2024,1,평창강3-2,Malacopsephenoides japonicus,개울물삿갓벌레,86
2024,1,평창강3-2,Ophiogomphus obscurus,측범잠자리,8
2024,1,평창강3-2,Potamyia KUb,강줄날도래 KUb,15
2024,1,평창강3-2,Protohermes xanthodes,노란뱀잠자리,4
2024,1,평창강3-2,Semisulcospira gottschei,곳체다슬기,4
2024,1,평창강3-2,Serratella setigera,범꼬리하루살이,26
2024,1,평창강3-2,Stenelmis nipponica,곰보긴다리여울벌레,12
2024,1,평창강3-2,Stenelmis sp.,긴다리여울벌레류,8
2024,1,평창강3-2,Teloganopsis punctisetae,등줄하루살이,156
2024,2,평창강3-2,Baetiella tuberculata,애호랑하루살이,4
2024,2,평창강3-2,Baetis fuscatus,개똥하루살이,23
2024,2,평창강3-2,Cheumatopsyche KUa,꼬마줄날도래 KUa,8
2024,2,평창강3-2,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),4
2024,2,평창강3-2,Choroterpes (Euthraulus) altioculus,세갈래하루살이,19
2024,2,평창강3-2,Ecdyonurus levis,네점하루살이,12
2024,2,평창강3-2,Ephemera orientalis,동양하루살이,4
