법정구역코드,시도,시군구,읍면동,리,FullAddress,하수처리시설명,하수처리_시설코드,분뇨처리시설명,분뇨처리_시설코드,지정내역,인구 총계(명),시가 인구(명)_하수처리지역(분류식),시가 인구(명)_하수처리지역(합류식),시가 인구(명)_하수미처리지역(오수),시가 인구(명)_하수미처리지역(정화조),시가 인구(명)_하수미처리지역(수거식),비시가 인구(명)_하수처리지역(분류식),비시가 인구(명)_하수처리지역(합류식),비시가 인구(명)_하수미처리지역(오수),비시가 인구(명)_하수미처리지역(정화조),비시가 인구(명)_하수미처리지역(수거식)
2771026226,대구광역시,달성군,옥포읍,기세리,대구광역시 달성군 옥포읍 기세리,옥포기세마을하수도,277100V08,서부분뇨처리장,272900F01,일반지역,385,59,0,65,0,0,124,0,137,0,0
2771026227,대구광역시,달성군,옥포읍,반송리,대구광역시 달성군 옥포읍 반송리,,,서부분뇨처리장,272900F01,일반지역,421,0,0,50,43,0,0,0,176,152,0
2771026228,대구광역시,달성군,옥포읍,김흥리,대구광역시 달성군 옥포읍 김흥리,,,서부분뇨처리장,272900F01,일반지역,475,0,0,0,81,0,0,0,0,394,0
2771026229,대구광역시,달성군,옥포읍,본리리,대구광역시 달성군 옥포읍 본리리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,5616,3022,0,110,70,0,2279,0,83,52,0
2771026521,대구광역시,달성군,현풍읍,상리,대구광역시 달성군 현풍읍 상리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,1208,204,0,0,62,0,723,0,0,219,0
2771026522,대구광역시,달성군,현풍읍,중리,대구광역시 달성군 현풍읍 중리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,14269,14269,0,0,0,0,0,0,0,0,0
2771026523,대구광역시,달성군,현풍읍,부리,대구광역시 달성군 현풍읍 부리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,1941,1689,0,0,0,0,252,0,0,0,0
2771026524,대구광역시,달성군,현풍읍,하리,대구광역시 달성군 현풍읍 하리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,484,484,0,0,0,0,0,0,0,0,0
2771026525,대구광역시,달성군,현풍읍,성하리,대구광역시 달성군 현풍읍 성하리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,522,63,0,0,0,0,459,0,0,0,0
2771026526,대구광역시,달성군,현풍읍,원교리,대구광역시 달성군 현풍읍 원교리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,1046,345,0,0,0,0,701,0,0,0,0
2771026527,대구광역시,달성군,현풍읍,자모리,대구광역시 달성군 현풍읍 자모리,현풍자모마을하수도,277100V02,서부분뇨처리장,272900F01,특정지역,134,40,0,0,0,0,94,0,0,0,0
2771026528,대구광역시,달성군,현풍읍,오산리,대구광역시 달성군 현풍읍 오산리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,133,0,0,0,0,0,107,0,0,26,0
2771026529,대구광역시,달성군,현풍읍,지리,대구광역시 달성군 현풍읍 지리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,242,28,0,0,4,0,185,0,0,25,0
2771026531,대구광역시,달성군,현풍읍,신기리,대구광역시 달성군 현풍읍 신기리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,116,63,0,0,8,0,40,0,0,5,0
